Name,release year,volume(mm^3),weight(g),screen size(in),total resolution,OSType,number of cores,core clock rate(gHz),ram,primary camera(MP),battery(mAh)
Samsung Galaxy S6,2015.0,68745.96,138.0,5.1,3686400.0,2.0,4.0,1.5,3.0,16.0,2550.0,
Samsung Galaxy J1 4G,2015.0,78300.42000000001,122.0,4.3,384000.0,2.0,4.0,1.2,0.768,5.0,1850.0,
Samsung Galaxy J1,2015.0,78300.42000000001,122.0,4.3,384000.0,2.0,2.0,1.2,0.512,5.0,1850.0,
Samsung Galaxy A7,2015.0,72489.06,141.0,5.5,2073600.0,2.0,4.0,1.5,2.0,13.0,2600.0,
Samsung Galaxy Grand Max,2015.0,86274.31999999999,161.0,5.25,921600.0,2.0,4.0,1.2,1.0,13.0,2500.0,
Samsung Galaxy E7,2015.0,85266.628,141.0,5.5,921600.0,2.0,4.0,1.2,2.0,13.0,2950.0,
Samsung Galaxy Core Prime,2014.0,78155.61600000002,130.0,4.5,384000.0,2.0,4.0,1.2,1.0,5.0,2000.0,
Samsung Galaxy A5 Duos,2014.0,65051.70700000001,123.0,5.0,921600.0,2.0,4.0,1.2,2.0,13.0,2300.0,
Samsung Galaxy A5,2014.0,65051.70700000001,123.0,5.0,921600.0,2.0,4.0,1.2,2.0,13.0,2300.0,
Samsung Galaxy A3 Duos,2014.0,58798.695,110.3,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,1900.0,
Samsung Galaxy A3,2014.0,58798.695,110.3,4.5,518400.0,2.0,4.0,1.2,1.0,8.0,1900.0,
Samsung Galaxy S5 Plus,2014.0,83389.5,145.0,5.1,2073600.0,2.0,4.0,2.5,2.0,16.0,2800.0,
Samsung Galaxy Pocket 2,2014.0,78178.46399999999,107.0,3.3,76800.0,2.0,1.0,1.0,0.512,2.0,1200.0,
Samsung Galaxy V,2014.0,81705.842,123.0,4.0,384000.0,2.0,1.0,1.2,0.512,3.0,1500.0,
Samsung Galaxy Grand Prime Duos TV,2014.0,90096.008,152.0,5.0,518400.0,2.0,4.0,1.2,1.0,8.0,2600.0,
Samsung Galaxy Grand Prime,2014.0,89784.688,156.0,5.0,518400.0,2.0,4.0,1.2,1.0,8.0,2600.0,
Samsung Galaxy Ace Style LTE,2014.0,77182.742,126.0,4.3,384000.0,2.0,4.0,1.2,1.0,5.0,1900.0,
Samsung Galaxy Note 4 Duos,2014.0,102553.34999999999,175.0,5.7,3686400.0,2.0,4.0,2.7,3.0,16.0,3000.0,
Samsung Galaxy Note 4 (CDMA),2014.0,102553.34999999999,176.0,5.7,3686400.0,2.0,4.0,2.7,3.0,16.0,3220.0,
Samsung Galaxy Note 4,2014.0,102553.34999999999,176.0,5.7,3686400.0,2.0,4.0,2.7,3.0,16.0,3220.0,
Samsung Galaxy Tab Active LTE,2014.0,260864.234,393.0,8.0,1024000.0,2.0,4.0,1.2,1.0,3.0,4450.0,
Samsung Galaxy Tab Active,2014.0,260864.234,393.0,8.0,1024000.0,2.0,4.0,1.2,1.0,3.0,4450.0,
Samsung Galaxy Mega 2,2014.0,119450.90400000001,194.0,6.0,921600.0,2.0,4.0,1.5,1.0,8.0,2800.0,
Samsung Galaxy S5 LTE-A G901F,2014.0,83389.5,145.0,5.1,2073600.0,2.0,4.0,2.5,2.0,16.0,2800.0,
Samsung Galaxy Alpha (S801),2014.0,58103.740000000005,115.0,4.7,921600.0,2.0,4.0,2.5,2.0,12.0,1860.0,
Samsung Galaxy Alpha,2014.0,58103.740000000005,115.0,4.7,921600.0,2.0,4.0,1.8,2.0,12.0,1860.0,
Samsung Galaxy S5 mini Duos,2014.0,77307.04799999998,118.0,4.5,921600.0,2.0,4.0,1.4,1.0,8.0,2100.0,
Samsung Galaxy Avant,2014.0,86836.86,136.9,4.5,518400.0,2.0,4.0,1.2,1.0,5.0,2100.0,
